pid,duration
1,9
2,8
3,1
4,3
5,3
6,10
7,1
8,6
9,8
10,2
11,9
12,4
13,8
14,3
15,4
16,10
17,9
18,9
19,4
20,10
21,3
22,10
23,5
24,5
25,6
26,8
27,2
28,3
29,8
30,2
31,8
32,1
33,10
34,3
35,2
36,2
37,9
38,9
39,5
40,2
41,1
42,9
43,6
44,10
45,3
46,8
47,1
48,9
49,5
50,7
51,2
52,6
53,6
54,4
55,10
56,10
57,10
58,2
59,9
60,10
61,6
62,6
63,9
64,3
65,1
66,3
67,6
68,1
69,9
70,10
71,4
72,6
73,4
74,1
75,7
76,7
77,3
78,2
79,10
80,6
81,8
82,9
83,2
84,3
85,9
86,8
87,8
88,10
89,9
90,4
91,3
92,1
93,2
94,5
95,7
96,2
97,3
98,8
99,3
100,9
101,4
102,2
103,10
104,5
105,2
106,2
107,1
108,10
109,2
110,5
111,10
112,3
113,6
114,3
115,7
116,1
117,4
118,7
119,4
120,5
121,6
122,5
123,10
124,7
125,2
126,10
127,8
128,2
129,10
130,10
131,3
132,7
133,4
134,7
135,4
136,7
137,3
138,4
139,3
140,6
141,1
142,2
143,10
144,10
145,6
146,3
147,3
148,6
149,9
150,6
151,7
152,2
153,4
154,5
155,5
156,6
157,10
158,2
159,8
160,5
161,5
162,3
163,4
164,5
165,8
166,6
167,5
168,9
169,10
170,4
171,9
172,10
173,7
174,6
175,2
176,4
177,3
178,2
179,6
180,2
181,2
182,2
183,1
184,5
185,3
186,3
187,9
188,6
189,3
190,6
191,3
192,2
193,7
194,1
195,7
196,8
197,9
198,1
199,6
200,7
201,9
202,10
203,6
204,5
205,3
206,3
207,9
208,4
209,8
210,1
211,1
212,6
213,7
214,3
215,5
216,3
217,8
218,7
219,8
220,2
221,6
222,1
223,1
224,8
225,7
226,10
227,4
228,8
229,8
230,7
231,6
232,10
233,10
234,6
235,8
236,10
237,10
238,10
239,2
240,2
241,5
242,2
243,1
244,4
245,9
246,1
247,5
248,9
249,8
250,4
251,10
252,4
253,5
254,8
255,8
256,5
257,2
258,5
259,5
260,8
261,7
262,10
263,4
264,10
265,8
266,1
267,3
268,5
269,6
270,7
271,1
272,5
273,5
274,4
275,8
276,2
277,9
278,7
279,6
280,8
281,5
282,7
283,4
284,4
285,1
286,8
287,7
288,4
289,10
290,4
291,9
292,4
293,7
294,4
295,7
296,10
297,5
298,8
299,1
300,2
301,9
302,5
303,10
304,3
305,6
306,3
307,3
308,6
309,1
310,5
311,2
312,5
313,10
314,9
315,1
316,3
317,10
318,3
319,5
320,1
321,1
322,2
323,8
324,10
325,7
326,6
327,7
328,6
329,7
330,5
331,10
332,9
333,4
334,1
335,8
336,9
337,8
338,7
339,3
340,8
341,5
342,8
343,10
344,6
345,6
346,8
347,2
348,2
349,3
350,1
351,10
352,5
353,2
354,10
355,4
356,2
357,9
358,7
359,4
360,9
361,1
362,6
363,1
364,10
365,4
366,10
367,6
368,2
369,5
370,6
371,3
372,1
373,7
374,3
375,10
376,10
377,1
378,5
379,5
380,6
381,1
382,9
383,1
384,8
385,4
386,2
387,10
388,9
389,6
390,4
391,7
392,9
393,4
394,7
395,4
396,2
397,10
398,2
399,7
400,1
401,1
402,9
403,1
404,5
405,5
406,10
407,3
408,9
409,10
410,3
411,3
412,4
413,1
414,9
415,9
416,6
417,9
418,4
419,7
420,3
421,7
422,8
423,7
424,9
425,7
426,6
427,3
428,7
429,9
430,5
431,3
432,2
433,1
434,9
435,7
436,1
437,3
438,4
439,10
440,1
441,7
442,6
443,10
444,10
445,3
446,2
447,4
448,6
449,4
450,6
451,4
452,9
453,4
454,2
455,9
456,9
457,1
458,1
459,1
460,10
461,10
462,8
463,1
464,7
465,9
466,3
467,3
468,9
469,7
470,7
471,7
472,10
473,4
474,3
475,7
476,4
477,6
478,8
479,7
480,4
481,2
482,8
483,8
484,9
485,10
486,8
487,3
488,6
489,7
490,8
491,5
492,4
493,8
494,8
495,10
496,7
497,5
498,1
499,4
500,4
501,1
502,7
503,1
504,8
505,4
506,7
507,9
508,7
509,2
510,6
511,2
512,10
513,8
514,4
515,7
516,4
517,2
518,2
519,1
520,8
521,8
522,10
523,8
524,3
525,4
526,3
527,5
528,5
529,5
530,9
531,6
532,1
533,4
534,4
535,5
536,4
537,5
538,2
539,1
540,4
541,3
542,10
543,10
544,2
545,6
546,9
547,4
548,10
549,5
550,5
551,9
552,10
553,9
554,1
555,6
556,8
557,7
558,5
559,6
560,1
561,10
562,4
563,2
564,8
565,4
566,8
567,10
568,1
569,9
570,6
571,6
572,4
573,1
574,3
575,1
576,1
577,9
578,10
579,2
580,4
581,7
582,9
583,7
584,5
585,8
586,2
587,7
588,2
589,9
590,7
591,7
592,7
593,9
594,10
595,6
596,4
597,10
598,7
599,9
600,6
601,1
602,4
603,5
604,3
605,6
606,4
607,10
608,6
609,2
610,9
611,2
612,2
613,10
614,4
615,6
616,3
617,7
618,7
619,8
620,9
621,6
622,2
623,10
624,7
625,5
626,6
627,6
628,8
629,9
630,7
631,6
632,10
633,7
634,6
635,8
636,10
637,10
638,4
639,9
640,4
641,3
642,1
643,6
644,8
645,6
646,7
647,9
648,2
649,4
650,6
651,4
652,4
653,4
654,1
655,5
656,7
657,2
658,9
659,8
660,1
661,10
662,7
663,7
664,10
665,6
666,9
667,8
668,5
669,5
670,3
671,9
672,10
673,7
674,10
675,6
676,6
677,5
678,3
679,6
680,2
681,2
682,8
683,7
684,3
685,3
686,2
687,6
688,5
689,9
690,10
691,8
692,2
693,1
694,2
695,2
696,8
697,7
698,8
699,8
700,7
701,7
702,7
703,1
704,4
705,5
706,7
707,9
708,10
709,2
710,4
711,7
712,1
713,5
714,5
715,8
716,8
717,9
718,4
719,10
720,8
721,8
722,7
723,3
724,3
725,5
726,4
727,6
728,5
729,5
730,5
731,10
732,3
733,9
734,3
735,7
736,9
737,1
738,5
739,10
740,4
741,2
742,1
743,7
744,9
745,4
746,10
747,9
748,9
749,9
750,10
751,9
752,10
753,5
754,7
755,6
756,3
757,8
758,10
759,9
760,10
761,5
762,4
763,9
764,5
765,10
766,3
767,4
768,3
769,8
770,10
771,9
772,3
773,7
774,2
775,8
776,10
777,10
778,9
779,7
780,8
781,5
782,4
783,2
784,10
785,4
786,3
787,4
788,10
789,5
790,4
791,5
792,8
793,3
794,1
795,7
796,3
797,5
798,4
799,7
800,5
801,2
802,5
803,2
804,5
805,1
806,1
807,5
808,6
809,2
810,6
811,8
812,7
813,4
814,5
815,3
816,3
817,3
818,8
819,9
820,2
821,5
822,10
823,8
824,1
825,8
826,8
827,9
828,1
829,5
830,6
831,3
832,3
833,5
834,9
835,6
836,9
837,6
838,1
839,7
840,4
841,2
842,3
843,5
844,2
845,10
846,3
847,10
848,7
849,10
850,5
851,7
852,10
853,5
854,3
855,3
856,7
857,3
858,9
859,2
860,7
861,3
862,1
863,3
864,9
865,1
866,7
867,5
868,2
869,8
870,10
871,2
872,3
873,7
874,1
875,4
876,6
877,3
878,6
879,2
880,6
881,6
882,9
883,3
884,2
885,6
886,3
887,2
888,8
889,10
890,7
891,2
892,3
893,5
894,4
895,3
896,4
897,2
898,3
899,2
900,7
901,4
902,6
903,6
904,10
905,5
906,10
907,7
908,10
909,6
910,3
911,10
912,9
913,4
914,8
915,3
916,4
917,4
918,5
919,8
920,5
921,10
922,8
923,6
924,5
925,2
926,3
927,9
928,9
929,7
930,5
931,4
932,6
933,6
934,9
935,3
936,10
937,10
938,8
939,2
940,5
941,3
942,8
943,8
944,2
945,8
946,7
947,8
948,10
949,5
950,7
951,5
952,7
953,4
954,10
955,5
956,6
957,4
958,6
959,2
960,2
961,10
962,8
963,9
964,8
965,6
966,6
967,3
968,5
969,4
970,6
971,5
972,6
973,10
974,1
975,9
976,9
977,4
978,5
979,6
980,5
981,4
982,4
983,6
984,10
985,7
986,5
987,4
988,9
989,5
990,8
991,1
992,2
993,9
994,1
995,7
996,2
997,1
998,2
999,4
1000,10
1001,2
1002,6
1003,3
1004,10
1005,8
1006,10
1007,5
1008,5
1009,10
1010,10
1011,3
1012,5
1013,2
1014,1
1015,3
1016,3
1017,7
1018,5
1019,4
1020,7
1021,6
1022,4
1023,4
1024,7
1025,9
1026,9
1027,10
1028,10
1029,4
1030,2
1031,1
1032,5
1033,1
1034,9
1035,7
1036,3
1037,8
1038,5
1039,6
1040,1
1041,2
1042,1
1043,9
1044,1
1045,3
1046,10
1047,7
1048,9
1049,10
1050,6
1051,9
1052,5
1053,6
1054,10
1055,7
1056,10
1057,9
1058,5
1059,1
1060,9
