pid,duration
1,4
2,6
3,5
4,3
5,8
6,5
7,7
8,7
9,4
10,2
11,1
12,9
13,2
14,7
15,8
16,7
17,4
18,5
19,1
20,2
21,1
22,9
23,2
24,8
25,2
26,10
27,2
28,1
29,7
30,2
31,1
32,2
33,2
34,10
35,2
36,6
37,4
38,3
39,7
40,4
41,9
42,8
43,2
44,7
45,3
46,3
47,7
48,7
49,1
50,7
51,6
52,9
53,8
54,8
55,9
56,3
57,9
58,9
59,4
60,10
61,6
62,7
63,7
64,10
65,9
66,7
67,4
68,10
69,6
70,3
71,4
72,5
73,6
74,8
75,3
76,6
77,7
78,10
79,4
80,5
81,6
82,4
83,9
84,7
85,8
86,1
87,6
88,7
89,2
90,6
91,7
92,7
93,1
94,1
95,9
96,10
97,2
98,7
99,3
100,4
101,8
102,10
103,3
104,5
105,1
106,2
107,9
108,4
109,3
110,10
111,2
112,6
113,1
114,6
115,8
116,1
117,5
118,6
119,2
120,7
121,1
122,10
123,2
124,1
125,1
126,4
127,9
128,1
129,6
130,6
131,5
132,4
133,6
134,6
135,9
136,8
137,6
138,6
139,10
140,6
141,3
142,9
143,6
144,5
145,9
146,1
147,7
148,7
149,10
150,6
151,8
152,1
153,9
154,7
155,8
156,1
157,7
158,10
159,4
160,8
161,2
162,5
163,9
164,3
165,9
166,9
167,5
168,4
169,7
170,7
171,7
172,1
173,6
174,7
175,5
176,10
177,7
178,9
179,2
180,10
181,2
182,5
183,2
184,8
185,10
186,10
187,2
188,8
189,9
190,9
191,5
192,8
193,3
194,3
195,7
196,7
197,8
198,7
199,2
200,10
201,7
202,1
203,6
204,5
205,4
206,1
207,2
208,2
209,9
210,8
211,9
212,5
213,4
214,10
215,5
216,1
217,6
218,4
219,7
220,4
221,10
222,9
223,5
224,7
225,1
226,9
227,8
228,1
229,6
230,9
231,9
232,3
233,5
234,5
235,2
236,4
237,2
238,1
239,2
240,8
241,9
242,3
243,1
244,7
245,2
246,6
247,10
248,4
249,9
250,3
251,7
