pid,duration
1,5
2,4
3,4
4,2
5,8
6,5
7,6
8,9
9,4
10,3
11,7
12,3
13,8
14,5
15,5
16,8
17,5
18,6
19,2
20,6
21,2
22,10
23,8
24,3
25,1
26,2
27,2
28,7
29,7
30,4
31,3
32,4
33,1
34,8
35,10
36,6
37,9
38,10
39,7
40,1
41,4
42,7
43,8
44,1
45,4
46,2
47,8
48,10
49,2
50,7
51,10
52,6
53,3
54,10
55,3
56,8
57,2
58,6
59,8
60,9
61,2
62,9
63,7
64,6
65,6
66,9
67,5
68,9
69,8
70,1
71,2
72,7
73,9
74,3
75,10
76,6
77,1
78,7
79,3
80,9
81,1
82,6
83,4
84,1
85,5
86,3
87,3
88,4
89,3
90,2
91,9
92,10
93,2
94,6
95,5
96,1
97,5
98,4
99,2
100,2
101,10
102,6
103,1
104,5
105,8
106,7
107,1
108,7
109,3
110,10
111,9
112,7
113,9
114,3
115,5
116,1
117,5
118,6
119,9
120,6
121,2
122,2
123,5
124,7
125,1
126,5
127,5
128,7
129,4
130,3
131,5
132,4
133,5
134,6
135,2
136,2
137,4
138,2
139,5
140,4
141,1
142,4
143,9
144,10
145,1
146,10
147,1
148,1
149,8
150,8
151,8
152,2
153,3
154,7
155,3
156,5
157,10
158,4
159,4
160,7
161,8
162,4
163,8
164,1
165,7
166,8
167,6
168,1
169,9
170,8
171,8
172,7
173,1
174,6
175,5
176,5
177,9
178,6
179,2
180,8
181,4
182,9
183,7
184,6
185,5
186,9
187,10
188,9
189,6
190,4
191,6
192,7
193,5
194,7
195,7
196,6
197,5
198,9
199,5
200,5
201,3
202,1
203,10
204,1
205,5
206,3
207,6
208,8
209,8
210,1
211,5
212,1
213,3
214,7
215,8
216,4
217,1
218,3
219,9
220,5
221,7
222,6
223,2
224,7
225,4
226,9
227,3
228,8
229,2
230,7
231,4
232,10
233,6
234,8
235,7
236,6
237,5
238,7
239,8
240,4
241,8
242,7
243,3
244,3
245,10
246,6
247,3
248,8
249,7
250,4
251,4
252,9
253,3
254,2
255,1
256,3
257,6
258,10
259,6
260,6
261,1
262,10
263,10
264,9
265,8
266,6
267,2
268,5
269,7
270,8
271,6
272,8
273,7
274,6
275,6
276,1
277,10
278,4
279,5
280,8
281,6
282,6
283,8
284,8
285,6
286,9
287,10
288,5
289,3
290,10
291,4
292,9
293,1
294,7
295,2
296,8
297,8
298,3
299,1
300,3
301,2
302,1
303,9
304,2
305,4
306,8
307,7
308,1
309,5
310,8
311,6
312,8
313,4
314,1
315,4
316,4
317,6
318,5
319,8
320,9
321,4
322,9
323,1
324,3
325,1
326,2
327,10
328,5
329,8
330,4
331,9
332,3
333,3
334,4
335,9
336,10
337,10
338,9
339,2
340,5
341,8
342,10
