pid,duration
1,5
2,2
3,9
4,6
5,10
6,4
7,5
8,7
9,4
10,9
11,4
12,8
13,4
14,10
15,4
16,4
17,6
18,3
19,6
20,1
21,2
22,8
23,6
24,6
25,9
26,1
27,9
28,7
29,9
30,5
31,2
32,9
33,5
34,10
35,6
36,10
37,5
38,9
39,6
40,3
41,10
42,1
43,8
44,9
45,3
46,4
47,4
48,3
49,2
50,10
51,9
52,1
53,3
54,8
55,1
56,10
57,10
58,3
59,3
60,8
61,2
62,1
63,2
64,7
65,2
66,7
67,7
68,4
69,4
70,2
71,4
72,7
73,1
74,10
75,2
76,2
77,5
78,10
79,9
80,4
81,2
82,9
83,10
84,10
85,3
86,3
87,6
88,1
89,6
90,7
91,3
92,1
93,10
94,3
95,7
96,2
97,8
98,1
99,9
100,3
